nohup: ignoring input
/root/ot_image_refactored/model/text_guided_sde.py:144: SyntaxWarning: invalid escape sequence '\i'
  """用于在损失函数中计算 \int ||v_t||^2 dt"""
/root/miniconda3/lib/python3.12/site-packages/clip/clip.py:137: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(model_path, map_location="cpu")
[VAE] 正在从本地加载权重: /root/autodl-tmp/sd-vae-ft-mse
[CLIP] 正在物理强制加载本地权重文件: /root/autodl-tmp/clip/RemoteCLIP-ViT-L-14.pt
🚀 Started Training: V35_TextGuided_ENOT_Base | Logs: /root/autodl-tmp/runs/V35_TextGuided_ENOT_Base/tb_logs
Epoch [1/100] (eps=0.0025) [050/852] |█-------------------| G=11.9414 D=-0.9522 dir=0.6835 nc=46.2503 [0.41s/it]
Epoch [1/100] (eps=0.0025) [100/852] |██------------------| G=4.9958 D=-0.0922 dir=0.5397 nc=22.5550 [0.38s/it]
Epoch [1/100] (eps=0.0025) [150/852] |███-----------------| G=3.8101 D=-0.3728 dir=0.3773 nc=15.7989 [0.38s/it]
Epoch [1/100] (eps=0.0025) [200/852] |████----------------| G=3.0040 D=0.4286 dir=0.3053 nc=12.4255 [0.38s/it]
Epoch [1/100] (eps=0.0025) [250/852] |█████---------------| G=3.0543 D=-0.0696 dir=0.1888 nc=11.4267 [0.38s/it]
Epoch [1/100] (eps=0.0025) [300/852] |███████-------------| G=3.2155 D=-0.4635 dir=0.1466 nc=8.1488 [0.38s/it]
Epoch [1/100] (eps=0.0025) [350/852] |████████------------| G=3.2922 D=-0.0604 dir=0.0912 nc=9.9593 [0.38s/it]
Epoch [1/100] (eps=0.0025) [400/852] |█████████-----------| G=3.9902 D=-0.5199 dir=0.1007 nc=7.3488 [0.38s/it]
Epoch [1/100] (eps=0.0025) [450/852] |██████████----------| G=3.2511 D=0.0714 dir=0.1108 nc=9.2883 [0.38s/it]
Epoch [1/100] (eps=0.0025) [500/852] |███████████---------| G=1.8357 D=-0.0841 dir=0.0872 nc=11.3186 [0.38s/it]
Epoch [1/100] (eps=0.0025) [550/852] |████████████--------| G=2.1045 D=-0.2225 dir=0.0810 nc=7.9743 [0.46s/it]
Epoch [1/100] (eps=0.0025) [600/852] |██████████████------| G=3.7945 D=-0.2036 dir=0.1041 nc=13.2342 [0.38s/it]
Epoch [1/100] (eps=0.0025) [650/852] |███████████████-----| G=3.9618 D=-0.1092 dir=0.1053 nc=11.7428 [0.37s/it]
Epoch [1/100] (eps=0.0025) [700/852] |████████████████----| G=1.5238 D=0.3591 dir=0.0949 nc=7.0650 [0.37s/it]
Epoch [1/100] (eps=0.0025) [750/852] |█████████████████---| G=3.4442 D=-0.7713 dir=0.0000 nc=11.4549 [0.37s/it]
Epoch [1/100] (eps=0.0025) [800/852] |██████████████████--| G=3.0501 D=-1.0028 dir=0.0892 nc=8.4605 [0.37s/it]
Epoch [1/100] (eps=0.0025) [850/852] |███████████████████-| G=1.2906 D=1.5261 dir=0.0900 nc=7.5553 [0.38s/it]
Epoch [1/100] (eps=0.0025) [852/852] |████████████████████| G=1.5526 D=0.5812 dir=0.0884 nc=7.8139 [0.40s/it]
Epoch [2/100] (eps=0.0050) [050/852] |█-------------------| G=2.4235 D=-0.1108 dir=0.0879 nc=8.7319 [0.38s/it]
Epoch [2/100] (eps=0.0050) [100/852] |██------------------| G=2.4053 D=-0.4404 dir=0.0902 nc=10.5438 [0.38s/it]
Epoch [2/100] (eps=0.0050) [150/852] |███-----------------| G=2.2160 D=0.0874 dir=0.0919 nc=10.3206 [0.45s/it]
Epoch [2/100] (eps=0.0050) [200/852] |████----------------| G=1.5781 D=0.5627 dir=0.0642 nc=9.3379 [0.38s/it]
Epoch [2/100] (eps=0.0050) [250/852] |█████---------------| G=2.4659 D=0.4738 dir=0.0852 nc=14.4105 [0.38s/it]
Epoch [2/100] (eps=0.0050) [300/852] |███████-------------| G=2.7649 D=-0.9109 dir=0.1100 nc=7.7983 [0.38s/it]
Epoch [2/100] (eps=0.0050) [350/852] |████████------------| G=1.7723 D=-0.0342 dir=0.0628 nc=7.9545 [0.38s/it]
Epoch [2/100] (eps=0.0050) [400/852] |█████████-----------| G=2.5255 D=-0.1360 dir=0.0858 nc=11.2870 [0.38s/it]
Epoch [2/100] (eps=0.0050) [450/852] |██████████----------| G=1.3681 D=-0.2663 dir=0.0606 nc=7.7488 [0.38s/it]
Epoch [2/100] (eps=0.0050) [500/852] |███████████---------| G=3.0043 D=-1.5957 dir=0.0463 nc=8.3816 [0.38s/it]
Epoch [2/100] (eps=0.0050) [550/852] |████████████--------| G=1.6272 D=-0.3626 dir=0.0876 nc=9.7060 [0.38s/it]
Epoch [2/100] (eps=0.0050) [600/852] |██████████████------| G=1.3784 D=0.1396 dir=0.0816 nc=10.8702 [0.37s/it]
Epoch [2/100] (eps=0.0050) [650/852] |███████████████-----| G=1.1400 D=0.8474 dir=0.0778 nc=11.8234 [0.45s/it]
Epoch [2/100] (eps=0.0050) [700/852] |████████████████----| G=2.2587 D=-0.0359 dir=0.0544 nc=12.2644 [0.38s/it]
